id	sentence	label
1094482757378551808	victoriamallug mtn dear mtn i bought this product and the number one problem is that one has to pay for ott daily in order to run all other social media apps this means i have to pay double tax i called customer service was given a reference and the issue hasnt been resolved 	None
1094509024865853441	mtn your customer care personel named ronald is rude and does not listen 	None
1094557074833502209	mtn my only problem is that you are using africell colors 	Negative
1094582840984064001	rasoug nze am about to run away from mtn 	Negative
1094588400760487936	mtn should also be serious you cant be in the market for over years and still provide such hopeless internet your internet speed is always ks all youre doing is update me that ive used if my bundle what am i doing minutes waiting for a page to load 	None
1094637267887550464	mtn you are a shameless lot 	Negative
1094642703864868864	mtn come on guys my internet connection has been on edge network from g for the past hourinternet is my businesscan work with this connectioncome on 	None
1094656748403769345	you know why i keep online all day hahaha just join now and enjoy mtn 	None
1094665441094578177	fk mtn internet being poor and the worst on a weekend and they will come our to convince ppo fake like their colour 	None
1094802665387773952	maama we made it fire notes rotatinglight raisedhands fire judewats mtn 	Positive
1094862878396596224	mtn what is wrong with your system balance ussd is dead i thought i had an active voice bundle but calls are hitting my airtime instead 	None
1094883071520923648	im trying to cope up with airtel horrible speedi was extremely tired of mtn robbery 	None
1094926940077805568	my pakapaka package makes things a lot simpler dial to activate mtn 	None
1094990031922622466	mtn experiencing this kampala heat as well your internet connectivity is suffering melting under the heat we can not conduct conference calls the connection has been dropping incessantly over the past two weeks what is the challenge when can we expect a resolution 	None
1095008556921835527	hey mtn can i please know why i cant access my momo account yet am an active agent 	None
1095061592029515778	mtn why do you put pressure on me am stressed by the way kindly do me a favour of any data bundle of your choice joy 	None
1095226088517763072	mtn you thieves i swear i will not buy any data bundle from you not now not even never frauds just leave our country nothing else you do here 	None
1095248214012383232	mtn your response hasnt been helpful check your dm again 	Positive
1095280079867990016	mtn pliz fix your network im trying to call people and my phone keeps saying not registered on network this has happened for the past week 	None
1095286327526993920	dear mtn i will not tolerate your robbery the way my data gets depleted this is unusual am considering resorting to any other network mtnugpro 	None
1095347063334883328	mtn has contributed ugx million to support rotaryuganda operationalize the mengo rotary blood bank under the initiative rotary uganda seeks raise usd towards purchasing equipment and a fully equipped mobile blood bank 	Positive
1095363921043697666	kccafc mtn as a kcca fan am happy with such technical and development ideas such discounts calls us note to support our team effectively thanks the management 	Positive
1095368696942481408	but mtn y do u punish people like this 	Negative
1095372026481647618	the way mtn is hogging data this evening scream 	None
1095429191611363328	mtn lets put some respekk on valentines please this gb gaaga is utterly disrespectful smirk 	None
1095461654337409024	mtn just loaded data but still doesnt connect 	None
1095533585585655808	mwe mtn wtf is this gaga valentine hogwash 	Negative
1095543808245284864	mtn i think this gaga wednesday thing should be disbanded form what you offer this aint interesting any more gb at k mbu valentines day is still open let me buy my paka bundles waiting for africell on friday and enjoy wave bye 	None
1095574746786418689	mtn i switched my phone to g and received gb but they are in active advise me please 	None
1095615064571293697	mtn gaga gb at ugx okay now i got to download ralph breaks the internet since its now available in hd via torrents sunglasses 	None
1095633418120060931	but mtn if you compare last years valentine gaga bundle to this years its embarrassing 	Negative
1095634033780891648	mtn i am not seeing the gb free you said we would get 	None
1095638678611869696	roketelkomug hey there do you guys have an mtn optionhow does one pay you minus incuring mobile money charges 	None
1095675106641276928	who told mtn that we wanted this bogus gaga valentine vuyos unamused 	Negative
1095682963570917378	mtn i didnt get the free gb though confused 	None
1095684340724523010	mtn i have really liked this offer 	Positive
1095700680680062977	mtn u mean joy putlitterinitsplace 	Positive
1095723016993075200	wabula we have suffered with mtn and their gaga please refund my money 	Negative
1095738133931573249	atimcharlotte thats mtn the offer is lame 	Negative
1095874564016488448	mtn buying an mtn valentines gaga bundle at k valid for days and its scrapped by morning is the biggest robbery i have ever got 	Negative
1095929776588681216	mtn please fix my tidal sob i need to be with my music 	Negative
1095935483299934208	mtn today announced that the season has raised ushs million to go towards the improvement of maternal health 	None
1095937601557663744	apparently mtn raised ushs million from the intended to improve maternal health 	None
1095939352134369281	stackss mtn experiencing the same problem too cry 	None
1095977481973256192	mtn i didnt get my free gb rolleyes 	Negative
1095977602538336256	rytahug mtn luckily this one runs until saturday in case you deplete the bandoz 	Negative
1096024701342834688	so mtn that had promised to reach out with its technical team to verify their claims on how my data was being consumed on service i personally dont access failed to respond to the details about the appointment 	Negative
1096028645750173696	mtn do i need to pay ott to surf the internet how come i cant access the internet with out me connecting through the vpn 	Negative
1096031191755571200	mtn my point is not social media am trying to use the internet for other stuff but can only access it through a vpn i thought ott was limited to social media do i need ott to use the internet for other things that are not social media 	Negative
1096036365068914688	enough about valentine mtn we are not your friends stop treating us as if we have shares how do you be eating my data in minutes you forced me do something i dnt do if this happens again am suing you 	Negative
1096037471761121281	iraguhaherbert mtn like i just bought my data mbu now you have used wtf 	Negative
1096037803866161157	iraguhaherbert mtn stupid mtn 	None
1096042436504231938	agasharebecca mtn airtel is giving gb on valentine in case u upgrade ur line to g so u can switch 	Negative
1096119570811768832	but why is my internet always slow between pm to pm cmon mtn thought we left that st in 	Negative
1096120549930078208	mtn i need to know what you decided to cheat me today 	None
1096122199910612999	mtn hullo cants call on my number yet i have credit why could this be 	None
1096146863697395712	excuse me mtn i dont understand what happened to the old way of loading ott i dont want data 	Negative
1096253688249753601	sabitijoseph mtn i dont think its still the leading service provider here 	None
1096276752312225793	denzelug i cant wait for he fake services to come from mtn after all these changes its been good for me surely 	None
1096286160215785472	mtn was spending some good money to make air time scratch cardswith the removal of the scratch card and the introduction and wide promotion of easy load system i expected some good calls and internet data discounts but just like entebbe taxi they just kept it up there 	Negative
1096290509763604480	jokes aside mtn has the fastest internet in uganda kati why not buy your self a gb and get gb for free to share with your lover to gift the free gb to ones loved one will dial after buying your bundle and follow the steps to share the free bundle 	Positive
1096293122194227200	compromising national security is putting the entire nation at stake ugandans deserve better from you people that are planning to cause meyhem i request mtn to respect the business environment and favourable policies for investment here in the country 	None
1096300004443066369	with this situation of deportation of mtn officialsmy mobile money is not safethoughts 	None
1096302865344278530	mtn mtngroup they deport the ceo and network goes down early morning style guys 	None
1096307140615176194	centenarybank mtn thank you so much 	None
1096320325413941249	has the successful bosco mobile money campaign become a cancer mtn this security thing does not add up for me 	None
1096327720823390208	what went wrong mtn it looks like everything has been going well until they brought on board the bosco advert 	None
1096328257119678464	mtn whats up with the mobile money service unable to send 	None
1096333506442117125	whats happening to the yellow telecommunications house hope the deportations dont affect their services mtn 	None
1096335700520243200	mtngroup mtn not surprised not by the way mtn refuses to adress fraud 	None
1096346748870627329	mtn mtngroup stop being used by countries to fight other countries just do your work you are a telecom company not a rebel group goodluck going forward 	None
1096349973644537857	justgystin mtn the service may also have been deported at this rate 	None
1096353113898995712	mtn mtngroup i hate to see such big company getting involved in politics come do business and leave why would you want to topple a govt stupid selfish interests first you take all the profits pay yo uganda employees nothing may god reward u 	None
1096377101471703040	mtn how long does the gb last 	Negative
1096377611805167616	mtn is this the gb gaga offer that expires saturday morning 	Negative
1096383766703104005	mtn mtngroup ur services are to expensive thats why 	None
