id	sentence1	sentence2	label
1095071034871607301	airtelug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to africellug soonlemme replace my simcard mscheew 	africell - Calls	None
1095071034871607301	airtelug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to africellug soonlemme replace my simcard mscheew 	africell - CustomerService	None
1095071034871607301	airtelug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to africellug soonlemme replace my simcard mscheew 	africell - Data	Positive
1095071034871607301	airtelug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to africellug soonlemme replace my simcard mscheew 	africell - General	None
1095071034871607301	airtelug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to africellug soonlemme replace my simcard mscheew 	africell - Network	None
1096683978940170242	africellug your internet is so frustrating pout 	africell - Calls	None
1096683978940170242	africellug your internet is so frustrating pout 	africell - CustomerService	None
1096683978940170242	africellug your internet is so frustrating pout 	africell - Data	Negative
1096683978940170242	africellug your internet is so frustrating pout 	africell - General	None
1096683978940170242	africellug your internet is so frustrating pout 	africell - Network	None
1096692681881853952	africellug am awaiting your follow up check your dm for details 	africell - Calls	None
1096692681881853952	africellug am awaiting your follow up check your dm for details 	africell - CustomerService	Negative
1096692681881853952	africellug am awaiting your follow up check your dm for details 	africell - Data	None
1096692681881853952	africellug am awaiting your follow up check your dm for details 	africell - General	None
1096692681881853952	africellug am awaiting your follow up check your dm for details 	africell - Network	None
1097055256431726593	hi africellug cant access the valentine weekend packages were they pulled down 	africell - Calls	None
1097055256431726593	hi africellug cant access the valentine weekend packages were they pulled down 	africell - CustomerService	None
1097055256431726593	hi africellug cant access the valentine weekend packages were they pulled down 	africell - Data	None
1097055256431726593	hi africellug cant access the valentine weekend packages were they pulled down 	africell - General	Negative
1097055256431726593	hi africellug cant access the valentine weekend packages were they pulled down 	africell - Network	None
1097170901664182273	i wan na take this adamount opportunity to thank africellug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	africell - Calls	None
1097170901664182273	i wan na take this adamount opportunity to thank africellug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	africell - CustomerService	None
1097170901664182273	i wan na take this adamount opportunity to thank africellug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	africell - Data	Positive
1097170901664182273	i wan na take this adamount opportunity to thank africellug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	africell - General	None
1097170901664182273	i wan na take this adamount opportunity to thank africellug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	africell - Network	None
1097365373102510080	emmadulce africellug you dont pay ott on their bundles 	africell - Calls	None
1097365373102510080	emmadulce africellug you dont pay ott on their bundles 	africell - CustomerService	None
1097365373102510080	emmadulce africellug you dont pay ott on their bundles 	africell - Data	Positive
1097365373102510080	emmadulce africellug you dont pay ott on their bundles 	africell - General	None
1097365373102510080	emmadulce africellug you dont pay ott on their bundles 	africell - Network	None
1097387066550235136	africellug we appreciate kampala district 	africell - General	Positive
1097437741997010944	africellug but you guys have g network in a few places only 	africell - Calls	None
1097437741997010944	africellug but you guys have g network in a few places only 	africell - CustomerService	None
1097437741997010944	africellug but you guys have g network in a few places only 	africell - Data	Negative
1097437741997010944	africellug but you guys have g network in a few places only 	africell - General	None
1097437741997010944	africellug but you guys have g network in a few places only 	africell - Network	None
1097814965317234688	africellug man you guys finding your credit is a treasure hunt can you load for me and i send mtn mobile money 	africell - Calls	None
1097814965317234688	africellug man you guys finding your credit is a treasure hunt can you load for me and i send mtn mobile money 	africell - CustomerService	Negative
1097814965317234688	africellug man you guys finding your credit is a treasure hunt can you load for me and i send mtn mobile money 	africell - Data	None
1097814965317234688	africellug man you guys finding your credit is a treasure hunt can you load for me and i send mtn mobile money 	africell - General	None
1097814965317234688	africellug man you guys finding your credit is a treasure hunt can you load for me and i send mtn mobile money 	africell - Network	None
1097932072537210886	team africellug please check dm 	africell - Calls	None
1097932072537210886	team africellug please check dm 	africell - CustomerService	Negative
1097932072537210886	team africellug please check dm 	africell - Data	None
1097932072537210886	team africellug please check dm 	africell - General	None
1097932072537210886	team africellug please check dm 	africell - Network	None
1098113716355321857	africellug dont be cheated satisfied eno gaga yatuba daaa 	africell - Calls	None
1098113716355321857	africellug dont be cheated satisfied eno gaga yatuba daaa 	africell - CustomerService	None
1098113716355321857	africellug dont be cheated satisfied eno gaga yatuba daaa 	africell - Data	Positive
1098113716355321857	africellug dont be cheated satisfied eno gaga yatuba daaa 	africell - General	None
1098113716355321857	africellug dont be cheated satisfied eno gaga yatuba daaa 	africell - Network	None
1098121838809567233	dont be cheated africellug 	africell - Calls	None
1098121838809567233	dont be cheated africellug 	africell - CustomerService	None
1098121838809567233	dont be cheated africellug 	africell - Data	None
1098121838809567233	dont be cheated africellug 	africell - General	Positive
1098121838809567233	dont be cheated africellug 	africell - Network	None
1098131570022600704	africellug why dont we have network in kakumiro kisiita town council and no agent of africellug 	africell - Calls	None
1098131570022600704	africellug why dont we have network in kakumiro kisiita town council and no agent of africellug 	africell - CustomerService	None
1098131570022600704	africellug why dont we have network in kakumiro kisiita town council and no agent of africellug 	africell - Data	None
1098131570022600704	africellug why dont we have network in kakumiro kisiita town council and no agent of africellug 	africell - General	None
1098131570022600704	africellug why dont we have network in kakumiro kisiita town council and no agent of africellug 	africell - Network	Negative
1098185359589076993	angelaburunde africellug but why cry 	africell - Calls	None
1098185359589076993	angelaburunde africellug but why cry 	africell - CustomerService	None
1098185359589076993	angelaburunde africellug but why cry 	africell - Data	None
1098185359589076993	angelaburunde africellug but why cry 	africell - General	Negative
1098185359589076993	angelaburunde africellug but why cry 	africell - Network	None
1098204052444364801	africellug pliz improve your g network in arua 	africell - Calls	None
1098204052444364801	africellug pliz improve your g network in arua 	africell - CustomerService	None
1098204052444364801	africellug pliz improve your g network in arua 	africell - Data	None
1098204052444364801	africellug pliz improve your g network in arua 	africell - General	None
1098204052444364801	africellug pliz improve your g network in arua 	africell - Network	Negative
1098260865424478209	africellug as a shareholder n ur company because i have yo simcard pliz bring data sharing am tired of buyin dis ka ghal 	africell - Calls	None
1098260865424478209	africellug as a shareholder n ur company because i have yo simcard pliz bring data sharing am tired of buyin dis ka ghal 	africell - CustomerService	None
1098260865424478209	africellug as a shareholder n ur company because i have yo simcard pliz bring data sharing am tired of buyin dis ka ghal 	africell - Data	None
1098260865424478209	africellug as a shareholder n ur company because i have yo simcard pliz bring data sharing am tired of buyin dis ka ghal 	africell - General	None
1098260865424478209	africellug as a shareholder n ur company because i have yo simcard pliz bring data sharing am tired of buyin dis ka ghal 	africell - Network	None
1098487458067562497	africellug me am always on and off i cant even tell 	africell - Calls	None
1098487458067562497	africellug me am always on and off i cant even tell 	africell - CustomerService	None
1098487458067562497	africellug me am always on and off i cant even tell 	africell - Data	None
1098487458067562497	africellug me am always on and off i cant even tell 	africell - General	Negative
1098487458067562497	africellug me am always on and off i cant even tell 	africell - Network	None
1098551067351179265	but africellug honestly i loaded daily gb at am the data is done already after reading emails are these empty figures this is too much happening again and again triumph 	africell - Calls	None
1098551067351179265	but africellug honestly i loaded daily gb at am the data is done already after reading emails are these empty figures this is too much happening again and again triumph 	africell - CustomerService	None
1098551067351179265	but africellug honestly i loaded daily gb at am the data is done already after reading emails are these empty figures this is too much happening again and again triumph 	africell - Data	Negative
1098551067351179265	but africellug honestly i loaded daily gb at am the data is done already after reading emails are these empty figures this is too much happening again and again triumph 	africell - General	None
1098551067351179265	but africellug honestly i loaded daily gb at am the data is done already after reading emails are these empty figures this is too much happening again and again triumph 	africell - Network	None
1098577662124015617	africellug hold on before you make that announcement ive been trying to buy an africel line for my kid bro who just finished form from your outlets in seeta and mukono but your bufake machines just wont read his thumb print theres also thatmwebereremu 	africell - Calls	None
1098577662124015617	africellug hold on before you make that announcement ive been trying to buy an africel line for my kid bro who just finished form from your outlets in seeta and mukono but your bufake machines just wont read his thumb print theres also thatmwebereremu 	africell - CustomerService	Negative
1098577662124015617	africellug hold on before you make that announcement ive been trying to buy an africel line for my kid bro who just finished form from your outlets in seeta and mukono but your bufake machines just wont read his thumb print theres also thatmwebereremu 	africell - Data	None
1098577662124015617	africellug hold on before you make that announcement ive been trying to buy an africel line for my kid bro who just finished form from your outlets in seeta and mukono but your bufake machines just wont read his thumb print theres also thatmwebereremu 	africell - General	None
1098577662124015617	africellug hold on before you make that announcement ive been trying to buy an africel line for my kid bro who just finished form from your outlets in seeta and mukono but your bufake machines just wont read his thumb print theres also thatmwebereremu 	africell - Network	None
1098787376288186369	africellug geniusmaxie its so sad that i reside in wakiso town council but have no access to a g network 	africell - Calls	None
1098787376288186369	africellug geniusmaxie its so sad that i reside in wakiso town council but have no access to a g network 	africell - CustomerService	None
1098787376288186369	africellug geniusmaxie its so sad that i reside in wakiso town council but have no access to a g network 	africell - Data	None
1098787376288186369	africellug geniusmaxie its so sad that i reside in wakiso town council but have no access to a g network 	africell - General	None
1098787376288186369	africellug geniusmaxie its so sad that i reside in wakiso town council but have no access to a g network 	africell - Network	Negative
1098798511133548545	its a crazy weekend with africellug gb for ugx day gb for ugx days dial to activate you go kill me woawith these pretty internet bundles 	africell - Calls	None
1098798511133548545	its a crazy weekend with africellug gb for ugx day gb for ugx days dial to activate you go kill me woawith these pretty internet bundles 	africell - CustomerService	None
1098798511133548545	its a crazy weekend with africellug gb for ugx day gb for ugx days dial to activate you go kill me woawith these pretty internet bundles 	africell - Data	Positive
1098798511133548545	its a crazy weekend with africellug gb for ugx day gb for ugx days dial to activate you go kill me woawith these pretty internet bundles 	africell - General	None
1098798511133548545	its a crazy weekend with africellug gb for ugx day gb for ugx days dial to activate you go kill me woawith these pretty internet bundles 	africell - Network	None
1098841172464812033	iskter africellug dont standard in the way of innovation we need better internet offers their see unlimited opportunities out there these people can come up with they should stop choking us with the same offersbut ur eyes cant see beyond ur nose 	africell - Calls	None
1098841172464812033	iskter africellug dont standard in the way of innovation we need better internet offers their see unlimited opportunities out there these people can come up with they should stop choking us with the same offersbut ur eyes cant see beyond ur nose 	africell - CustomerService	None
1098841172464812033	iskter africellug dont standard in the way of innovation we need better internet offers their see unlimited opportunities out there these people can come up with they should stop choking us with the same offersbut ur eyes cant see beyond ur nose 	africell - Data	Negative
1098841172464812033	iskter africellug dont standard in the way of innovation we need better internet offers their see unlimited opportunities out there these people can come up with they should stop choking us with the same offersbut ur eyes cant see beyond ur nose 	africell - General	None
1098841172464812033	iskter africellug dont standard in the way of innovation we need better internet offers their see unlimited opportunities out there these people can come up with they should stop choking us with the same offersbut ur eyes cant see beyond ur nose 	africell - Network	None
1098846169101488129	africellug we are experiencing dns inconsistency on the ug domains especially for our clients who are using airtel internet to clarify on the issue some clients have failed to access their websites or they are being pointed to an old dns records infinityic 	africell - Calls	None
1098846169101488129	africellug we are experiencing dns inconsistency on the ug domains especially for our clients who are using airtel internet to clarify on the issue some clients have failed to access their websites or they are being pointed to an old dns records infinityic 	africell - CustomerService	None
