id	sentence1	sentence2	label
1095071034871607301	mtnug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to mtnug soonlemme replace my simcard mscheew 	mtn - Calls	None
1095071034871607301	mtnug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to mtnug soonlemme replace my simcard mscheew 	mtn - CustomerService	None
1095071034871607301	mtnug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to mtnug soonlemme replace my simcard mscheew 	mtn - Data	Positive
1095071034871607301	mtnug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to mtnug soonlemme replace my simcard mscheew 	mtn - General	None
1095071034871607301	mtnug mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to mtnug soonlemme replace my simcard mscheew 	mtn - Network	None
1096683978940170242	mtnug your internet is so frustrating pout 	mtn - Calls	None
1096683978940170242	mtnug your internet is so frustrating pout 	mtn - CustomerService	None
1096683978940170242	mtnug your internet is so frustrating pout 	mtn - Data	Negative
1096683978940170242	mtnug your internet is so frustrating pout 	mtn - General	None
1096683978940170242	mtnug your internet is so frustrating pout 	mtn - Network	None
1096692681881853952	mtnug am awaiting your follow up check your dm for details 	mtn - Calls	None
1096692681881853952	mtnug am awaiting your follow up check your dm for details 	mtn - CustomerService	Negative
1096692681881853952	mtnug am awaiting your follow up check your dm for details 	mtn - Data	None
1096692681881853952	mtnug am awaiting your follow up check your dm for details 	mtn - General	None
1096692681881853952	mtnug am awaiting your follow up check your dm for details 	mtn - Network	None
1097055256431726593	hi mtnug cant access the valentine weekend packages were they pulled down 	mtn - Calls	None
1097055256431726593	hi mtnug cant access the valentine weekend packages were they pulled down 	mtn - CustomerService	None
1097055256431726593	hi mtnug cant access the valentine weekend packages were they pulled down 	mtn - Data	None
1097055256431726593	hi mtnug cant access the valentine weekend packages were they pulled down 	mtn - General	Negative
1097055256431726593	hi mtnug cant access the valentine weekend packages were they pulled down 	mtn - Network	None
1097170901664182273	i wan na take this adamount opportunity to thank mtnug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	mtn - Calls	None
1097170901664182273	i wan na take this adamount opportunity to thank mtnug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	mtn - CustomerService	None
1097170901664182273	i wan na take this adamount opportunity to thank mtnug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	mtn - Data	Positive
1097170901664182273	i wan na take this adamount opportunity to thank mtnug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	mtn - General	None
1097170901664182273	i wan na take this adamount opportunity to thank mtnug for keeping me online and also my data is about to be depleted can your people talk to my people we see a way forward 	mtn - Network	None
1097365373102510080	emmadulce mtnug you dont pay ott on their bundles 	mtn - Calls	None
1097365373102510080	emmadulce mtnug you dont pay ott on their bundles 	mtn - CustomerService	None
1097365373102510080	emmadulce mtnug you dont pay ott on their bundles 	mtn - Data	Positive
1097365373102510080	emmadulce mtnug you dont pay ott on their bundles 	mtn - General	None
1097365373102510080	emmadulce mtnug you dont pay ott on their bundles 	mtn - Network	None
1097387066550235136	mtnug we appreciate kampala district 	mtn - General	Positive
1097437741997010944	mtnug but you guys have g network in a few places only 	mtn - Calls	None
